"Number_of_Datasets","Date_and_Time"
1017,"2014-05-23"
1017,"2014-05-24"
1020,"2014-05-25"
1020,"2014-05-26"
1020,"2014-05-27"
1019,"2014-05-28"
1016,"2014-05-29"
1016,"2014-05-30"
1017,"2014-05-31"
1017,"2014-06-01"
1017,"2014-06-02"
1190,"2014-06-03"
1190,"2014-06-04"
1191,"2014-06-05"
1191,"2014-06-05"
1191,"2014-06-06"
1193,"2014-06-07"
1193,"2014-06-08"
1193,"2014-06-09"
1193,"2014-06-10"
1194,"2014-06-11"
1195,"2014-06-12"
1193,"2014-06-13"
1190,"2014-06-14"
1190,"2014-06-15"
1190,"2014-06-16"
1191,"2014-06-17"
1191,"2014-06-18"
1191,"2014-06-19"
1192,"2014-06-20"
1192,"2014-06-21"
1192,"2014-06-22"
1192,"2014-06-23"
1192,"2014-06-24"
1192,"2014-06-25"
1194,"2014-06-26"
1197,"2014-06-27"
1200,"2014-06-28"
1197,"2014-06-29"
1197,"2014-06-30"
1197,"2014-07-01"
1197,"2014-07-02"
1197,"2014-07-03"
1201,"2014-07-04"
1201,"2014-07-05"
1201,"2014-07-06"
1201,"2014-07-07"
1192,"2014-07-08"
1192,"2014-07-09"
1189,"2014-07-10"
1175,"2014-07-11"
1174,"2014-07-12"
1174,"2014-07-13"
1174,"2014-07-14"
1309,"2014-07-15"
1325,"2014-07-15"
1325,"2014-07-16"
1325,"2014-07-16"
