"Number_of_Organizations","Number_of_Users","Date_and_Time"
9,31,"2014-05-23"
10,32,"2014-05-24"
10,32,"2014-05-25"
10,32,"2014-05-26"
10,33,"2014-05-27"
12,36,"2014-05-28"
12,37,"2014-05-29"
12,37,"2014-05-30"
12,37,"2014-05-31"
14,40,"2014-06-01"
15,46,"2014-06-02"
15,46,"2014-06-03"
16,47,"2014-06-04"
18,50,"2014-06-05"
18,50,"2014-06-05"
18,50,"2014-06-06"
18,51,"2014-06-07"
18,51,"2014-06-08"
18,52,"2014-06-09"
18,53,"2014-06-10"
18,54,"2014-06-11"
18,49,"2014-06-12"
18,49,"2014-06-13"
18,49,"2014-06-14"
18,49,"2014-06-15"
18,49,"2014-06-16"
18,50,"2014-06-17"
18,51,"2014-06-18"
18,51,"2014-06-19"
19,52,"2014-06-20"
19,53,"2014-06-21"
19,53,"2014-06-22"
19,53,"2014-06-23"
19,53,"2014-06-24"
20,53,"2014-06-25"
21,54,"2014-06-26"
21,57,"2014-06-27"
21,57,"2014-06-28"
21,57,"2014-06-29"
21,57,"2014-06-30"
21,57,"2014-07-01"
21,57,"2014-07-02"
21,57,"2014-07-03"
21,58,"2014-07-04"
21,58,"2014-07-05"
21,58,"2014-07-06"
21,58,"2014-07-07"
22,61,"2014-07-08"
20,61,"2014-07-09"
20,62,"2014-07-10"
20,63,"2014-07-11"
16,64,"2014-07-12"
16,64,"2014-07-13"
16,64,"2014-07-14"
21,65,"2014-07-15"
22,79,"2014-07-15"
22,90,"2014-07-16"
22,92,"2014-07-16"
